true_quality,answer_length,group,human_1,human_2,judge_pass_1,judge_pass_2
1,187,A,1,1,1,1
4,289,A,3,5,4,4
5,213,A,5,5,5,5
2,188,B,3,2,2,2
3,201,B,3,3,3,1
1,200,A,1,1,2,2
1,80,A,1,1,1,1
2,188,B,2,1,1,1
5,180,B,4,4,4,4
5,302,A,5,5,5,5
4,174,B,4,3,4,4
3,256,B,3,3,2,2
3,323,B,3,3,3,3
1,170,B,2,1,1,1
2,162,B,2,3,2,2
5,253,A,5,5,5,5
3,216,B,3,2,3,2
2,134,A,3,2,2,1
2,236,A,1,3,1,2
4,369,A,4,4,5,5
1,174,A,1,1,1,1
5,226,B,5,5,5,5
5,167,A,5,4,4,5
3,238,A,4,4,3,3
3,129,A,2,2,3,3
4,151,A,4,3,5,3
3,306,A,3,3,2,3
3,153,A,3,3,4,2
2,280,A,2,2,2,2
3,323,A,3,3,4,3
4,246,B,3,4,5,4
1,231,A,1,2,2,1
1,329,A,1,1,2,1
4,214,B,4,4,3,4
2,162,A,2,2,2,1
5,145,A,5,5,4,4
1,195,A,2,1,1,1
5,344,B,5,5,5,5
1,259,A,1,1,2,1
3,150,B,3,3,4,2
5,180,B,5,5,4,5
1,157,A,1,1,2,1
4,248,A,4,5,5,5
4,214,A,4,5,5,4
3,231,A,2,2,3,3
1,213,A,1,1,1,1
3,195,A,3,4,3,3
3,213,B,3,3,1,2
5,254,A,5,5,4,5
4,222,B,4,4,4,4
2,239,A,2,2,2,2
1,323,A,2,1,2,2
3,257,A,3,3,3,4
2,208,A,2,2,3,2
4,110,A,4,4,4,4
5,267,A,4,5,5,5
2,68,A,2,1,2,2
5,141,B,5,5,4,5
3,276,B,3,3,3,3
3,265,B,2,3,4,4
4,218,A,5,5,3,4
4,108,A,4,4,4,4
5,214,B,4,5,4,4
5,192,A,4,5,5,5
1,237,A,1,1,2,2
3,374,B,3,3,3,3
5,255,A,5,5,5,5
2,149,A,2,2,1,2
1,110,B,1,1,1,1
3,212,B,3,4,2,1
4,216,A,4,4,5,4
4,147,B,4,4,5,4
5,248,B,5,5,5,4
4,147,A,5,4,3,4
1,270,B,1,1,1,1
5,314,B,5,5,5,5
3,292,B,3,4,4,3
5,207,A,5,5,5,5
5,276,A,4,4,5,4
5,231,A,5,5,5,5
1,165,B,1,1,1,1
5,216,B,5,5,5,5
4,137,B,4,5,2,3
3,115,A,3,3,2,2
4,284,B,3,3,3,5
5,227,B,4,5,5,4
3,231,A,3,4,3,3
1,262,A,1,1,1,1
4,107,B,4,4,4,3
2,149,A,1,3,1,3
2,216,B,2,3,1,3
1,219,A,1,2,1,1
1,166,A,1,1,1,1
5,312,A,5,5,5,5
2,219,A,2,2,3,3
1,107,A,1,1,1,1
1,127,A,1,1,2,1
2,260,B,1,2,1,1
2,236,B,2,2,3,2
2,71,B,3,2,1,1
5,334,B,5,5,4,4
5,282,B,5,5,5,5
3,310,B,3,3,4,3
5,213,A,5,5,5,5
2,183,B,2,2,2,2
1,113,B,1,1,1,1
2,382,B,3,3,3,3
1,180,B,1,1,1,2
5,351,B,5,5,5,5
2,159,A,2,1,2,1
3,227,B,3,3,3,3
2,87,A,3,2,2,2
5,213,B,5,5,5,5
1,261,B,1,1,2,1
3,128,B,3,3,2,3
5,315,B,5,5,5,5
3,240,A,3,3,2,3
5,167,A,5,5,4,5
5,205,B,5,5,5,4
4,196,A,4,3,4,4
4,225,A,3,3,5,4
3,178,A,3,4,3,4
3,158,B,4,2,2,3
5,219,A,5,5,5,4
3,144,B,3,3,2,3
5,150,B,5,5,4,5
5,237,A,5,5,5,5
2,266,B,2,2,2,3
3,109,B,3,3,2,2
4,228,B,4,4,3,3
5,195,B,5,4,5,5
1,124,A,1,1,1,1
1,252,A,1,1,2,1
2,168,B,2,2,3,2
3,321,A,3,3,4,3
1,137,A,1,1,1,1
3,243,A,2,3,3,2
3,200,B,3,3,2,2
5,187,A,5,5,4,4
